,Home_team,Home_score,Away_score,Away_team,Home_xG,Away_xG
0,FC Krasnodar,0,2,Dinamo Moscow,0.26,1.00
1,FC Rostov,1,2,Zenit St. Petersburg,0.53,1.21
2,FC Krasnodar,4,0,FK Akhmat,2.37,0.52
3,CSKA Moscow,2,0,FC Tambov,1.24,0.02
4,Dinamo Moscow,0,1,FC Orenburg,1.41,0.52
5,Rubin Kazan,1,2,Spartak Moscow,1.44,2.79
6,Krylya Sovetov Samara,3,0,PFC Sochi,0.00,0.00
7,FC Ufa,0,0,Arsenal Tula,0.70,0.66
8,Ural,0,1,Lokomotiv Moscow,0.90,0.86
9,FC Krasnodar,3,0,Ural,3.87,1.14
10,Ural,1,3,Arsenal Tula,0.41,0.93
11,Spartak Moscow,3,0,FK Akhmat,0.89,0.26
12,Krylya Sovetov Samara,0,0,FC Krasnodar,1.58,0.74
13,Zenit St. Petersburg,4,1,FC Orenburg,2.35,0.95
14,Rubin Kazan,0,0,FC Rostov,0.67,0.73
15,FC Ufa,0,1,Dinamo Moscow,0.18,2.23
16,FC Tambov,3,0,PFC Sochi,0.00,0.00
17,Lokomotiv Moscow,2,1,CSKA Moscow,1.90,0.99
18,FC Krasnodar,2,4,Zenit St. Petersburg,2.09,2.12
19,FC Tambov,1,2,FK Akhmat,0.98,2.04
20,Arsenal Tula,2,4,Krylya Sovetov Samara,0.61,1.39
21,Zenit St. Petersburg,2,1,PFC Sochi,1.05,1.33
22,FC Orenburg,0,4,CSKA Moscow,1.08,2.39
23,Spartak Moscow,1,1,Lokomotiv Moscow,0.39,1.36
24,FC Rostov,1,2,FC Ufa,1.54,2.52
25,Ural,2,1,Dinamo Moscow,1.46,1.40
26,Rubin Kazan,1,0,FC Krasnodar,1.15,0.62
27,Arsenal Tula,2,1,FC Tambov,1.36,0.88
28,FK Akhmat,1,1,Zenit St. Petersburg,1.04,0.77
29,PFC Sochi,1,0,Spartak Moscow,0.05,1.08
30,Lokomotiv Moscow,1,1,FC Ufa,1.18,1.19
31,CSKA Moscow,1,1,Rubin Kazan,0.95,1.22
32,Dinamo Moscow,2,0,Krylya Sovetov Samara,2.65,0.78
33,FC Orenburg,0,0,FC Rostov,0.19,0.35
34,Lokomotiv Moscow,1,1,Krylya Sovetov Samara,1.72,0.72
35,CSKA Moscow,2,0,Spartak Moscow,1.03,0.97
36,FC Ufa,0,0,Rubin Kazan,0.54,0.48
37,FC Orenburg,0,3,Ural,0.00,0.00
38,FC Tambov,1,2,Zenit St. Petersburg,1.22,1.57
39,Arsenal Tula,1,3,FK Akhmat,0.84,1.13
40,FC Rostov,1,1,FC Krasnodar,1.35,2.27
41,PFC Sochi,1,1,Dinamo Moscow,1.08,1.22
42,Dinamo Moscow,0,1,Arsenal Tula,1.66,1.07
43,Spartak Moscow,2,3,FC Tambov,1.75,1.58
44,Krylya Sovetov Samara,0,0,FC Rostov,0.40,0.52
45,Lokomotiv Moscow,0,0,PFC Sochi,1.54,0.37
46,FK Akhmat,0,4,CSKA Moscow,0.30,1.67
47,FC Ufa,1,1,Ural,0.49,0.36
48,Rubin Kazan,1,0,FC Orenburg,1.77,0.61
49,FK Akhmat,1,1,PFC Sochi,1.92,0.67
50,Zenit St. Petersburg,2,1,Krylya Sovetov Samara,2.97,0.31
51,FC Orenburg,0,3,FC Krasnodar,0.00,0.00
52,Spartak Moscow,0,0,FC Ufa,1.00,0.25
53,Rubin Kazan,0,2,Lokomotiv Moscow,1.46,1.74
54,Dinamo Moscow,0,0,CSKA Moscow,0.48,0.37
55,FC Rostov,2,1,Arsenal Tula,1.55,0.85
56,Ural,2,1,FC Tambov,1.25,0.48
57,Krylya Sovetov Samara,2,4,FK Akhmat,1.83,3.43
58,PFC Sochi,10,1,FC Rostov,6.07,0.11
59,Ural,1,2,Rubin Kazan,0.77,1.20
60,Arsenal Tula,2,3,Spartak Moscow,1.58,0.80
61,CSKA Moscow,0,4,Zenit St. Petersburg,1.23,2.47
62,FC Ufa,2,1,FC Tambov,2.17,0.54
63,Lokomotiv Moscow,1,0,FC Orenburg,2.43,0.35
64,FC Tambov,3,0,Krylya Sovetov Samara,1.63,1.47
65,FC Rostov,3,2,CSKA Moscow,2.87,1.37
66,Spartak Moscow,0,1,FC Krasnodar,0.67,1.76
67,Zenit St. Petersburg,0,0,FC Ufa,1.45,1.00
68,PFC Sochi,5,1,FC Orenburg,1.74,1.72
69,FK Akhmat,2,3,Dinamo Moscow,1.16,1.54
70,FC Orenburg,1,3,Spartak Moscow,1.38,1.16
71,Zenit St. Petersburg,7,1,Ural,5.70,1.27
