,Home_team,Home_score,Away_score,Away_team,Home_xG,Away_xG
0,Brighton,0,0,Newcastle United,0.86,0.93
1,Sheffield United,0,1,Everton,0.47,0.62
2,Wolverhampton Wanderers,2,0,Crystal Palace,1.49,0.44
3,Watford,0,4,Manchester City,0.13,3.74
4,Aston Villa,1,0,Arsenal,0.57,0.74
5,Manchester United,1,1,West Ham,0.98,1.29
6,Liverpool,5,3,Chelsea,1.45,2.38
7,West Ham,1,1,Aston Villa,0.78,0.98
8,Arsenal,3,2,Watford,1.95,3.92
9,Southampton,3,1,Sheffield United,1.64,1.41
10,Newcastle United,1,3,Liverpool,0.34,0.57
11,Manchester City,5,0,Norwich,3.57,0.79
12,Leicester,0,2,Manchester United,0.75,1.41
13,Everton,1,3,Bournemouth,1.75,1.46
14,Crystal Palace,1,1,Tottenham,0.99,0.31
15,Chelsea,2,0,Wolverhampton Wanderers,1.16,0.16
16,Burnley,1,2,Brighton,1.44,1.37
17,Bournemouth,4,1,Leicester,2.54,1.66
18,Manchester United,2,2,Southampton,1.50,1.81
19,Chelsea,1,0,Norwich,3.05,0.06
20,Burnley,1,1,Wolverhampton Wanderers,1.53,1.29
21,Manchester City,2,1,Bournemouth,0.83,1.67
22,Newcastle United,1,3,Tottenham,1.06,1.75
23,Arsenal,2,1,Liverpool,1.32,2.22
24,Everton,1,1,Aston Villa,0.94,1.52
25,Leicester,2,0,Sheffield United,3.06,0.66
26,Crystal Palace,0,2,Manchester United,0.57,1.90
27,Southampton,1,1,Brighton,2.34,0.67
28,West Ham,3,1,Watford,0.83,1.03
29,Norwich,0,2,Burnley,0.58,1.82
30,Bournemouth,0,2,Southampton,0.58,2.25
31,Tottenham,3,0,Leicester,0.77,1.20
32,Southampton,1,0,Manchester City,0.63,3.40
33,Tottenham,1,0,Everton,0.51,0.40
34,Crystal Palace,2,3,Chelsea,1.29,2.66
35,Watford,2,1,Norwich,0.73,1.13
36,Arsenal,1,1,Leicester,1.29,1.00
37,Manchester City,5,0,Newcastle United,3.29,0.22
38,Sheffield United,1,0,Wolverhampton Wanderers,0.47,0.33
39,West Ham,0,1,Burnley,2.00,1.05
40,Brighton,1,3,Liverpool,2.36,2.62
41,Bournemouth,0,0,Tottenham,0.96,0.48
42,Everton,1,1,Southampton,0.67,2.30
43,Aston Villa,0,3,Manchester United,0.60,2.87
44,Norwich,0,4,West Ham,0.61,3.81
45,Watford,2,1,Newcastle United,3.13,1.49
46,Liverpool,1,1,Burnley,2.18,0.45
47,Sheffield United,3,0,Chelsea,2.01,1.18
48,Brighton,0,5,Manchester City,0.15,5.52
49,Wolverhampton Wanderers,3,0,Everton,2.87,0.29
50,Aston Villa,2,0,Crystal Palace,1.70,0.97
51,Tottenham,2,1,Arsenal,1.82,0.69
52,Crystal Palace,0,1,Burnley,1.07,0.36
53,Brighton,0,3,Manchester United,0.31,1.21
54,Arsenal,4,0,Norwich,1.76,0.15
55,Bournemouth,1,4,Newcastle United,1.28,2.23
56,Everton,2,1,Leicester,1.18,1.80
57,West Ham,3,2,Chelsea,2.10,1.58
58,Sheffield United,3,1,Tottenham,1.60,1.02
59,Manchester City,4,0,Liverpool,2.65,0.82
60,Norwich,0,1,Brighton,0.55,0.90
61,Leicester,3,0,Crystal Palace,2.21,0.51
62,Manchester United,5,2,Bournemouth,2.63,1.52
63,Wolverhampton Wanderers,0,2,Arsenal,0.99,1.28
64,Chelsea,3,0,Watford,2.79,0.61
65,Burnley,1,1,Sheffield United,1.32,1.63
66,Newcastle United,2,2,West Ham,1.49,2.03
67,Liverpool,2,0,Aston Villa,1.08,0.69
68,Everton,0,0,Liverpool,0.62,0.66
69,Manchester City,5,0,Burnley,2.71,0.03
70,Leicester,0,0,Brighton,0.51,1.10
71,Tottenham,2,0,West Ham,2.24,0.83
72,Wolverhampton Wanderers,1,0,Bournemouth,0.72,0.06
73,Norwich,0,1,Everton,0.38,0.65
74,Newcastle United,1,1,Aston Villa,0.66,1.23
75,Manchester United,3,0,Sheffield United,2.84,0.11
76,Liverpool,4,0,Crystal Palace,2.57,0.06
77,Burnley,1,0,Watford,0.96,0.50
78,Southampton,0,2,Arsenal,0.74,2.19
79,Chelsea,2,1,Manchester City,4.21,0.69
80,Aston Villa,0,1,Wolverhampton Wanderers,0.40,0.70
81,Watford,1,3,Southampton,0.37,1.34
82,Aston Villa,0,0,Sheffield United,1.01,0.24
83,Manchester City,3,0,Arsenal,2.74,0.50
84,Norwich,0,3,Southampton,0.65,1.87
85,Tottenham,1,1,Manchester United,0.53,1.77
86,Watford,1,1,Leicester,1.01,1.05
87,Brighton,2,1,Arsenal,0.67,0.70
88,West Ham,0,2,Wolverhampton Wanderers,0.44,1.06
89,Bournemouth,0,2,Crystal Palace,0.36,0.79
90,Newcastle United,3,0,Sheffield United,2.15,0.57
91,Aston Villa,1,2,Chelsea,1.57,1.14
92,Leicester,4,0,Aston Villa,2.41,0.67
93,Liverpool,2,1,Bournemouth,1.89,1.30
94,Arsenal,1,0,West Ham,1.56,1.62
95,Crystal Palace,1,0,Watford,0.86,0.45
96,Sheffield United,1,0,Norwich,1.17,2.55
97,Southampton,0,1,Newcastle United,0.35,3.06
98,Wolverhampton Wanderers,0,0,Brighton,0.90,0.31
99,Burnley,1,1,Tottenham,3.33,1.14
100,Chelsea,4,0,Everton,2.03,0.45
101,Manchester United,2,0,Manchester City,1.74,0.59
102,Liverpool,3,2,West Ham,2.48,0.64
103,Norwich,1,0,Leicester,0.59,1.43
104,Brighton,0,1,Crystal Palace,1.79,2.17
105,Bournemouth,2,2,Chelsea,1.58,1.98
106,Newcastle United,0,0,Burnley,1.12,0.62
107,West Ham,3,1,Southampton,2.79,0.87
